"","fav_lan","t_intv_min","tot_euros","tot_kgs","LE_EURO_SOL","LE_EURO_CSH","LE_EURO_PLE","LE_KG_SOL","LE_KG_CSH","LE_KG_PLE","VE_REF","t_intv_day","t_intv_h","ISO3_Country_Code","full_name","Coordinates","Latitude","Longitude","EU_Fish_Port","Port"
"1","DEACC",1194306,1267259,436444.813,12067,1239212,4385,950.715,429177.321,2449.531,9,829.379166666667,19905.1,"DEU","Accumersiel","5368N 00849E",53.679866,7.48563,"Y","Y"
"2","DEB02",42240,0,140,0,0,0,0,0,1,1,29.3333333333333,704,"DEU","Broek","5431N 01079E",54.309113,10.791492,"Y","Y"
"3","DEBEN",194256,296385,89486.642,0,296385,0,0,89486.642,0,3,134.9,3237.6,"DEU","Bensersiel","5368N 00758E",53.675,7.575,"Y","Y"
"4","DEBK1",129600,0,100,0,0,0,0,0,23,1,90,2160,"DEU","Bockholmwik","5483N 00962E",54.83166667,9.615,"Y","Y"
"5","DEBSK",647597,478026,443570.775,22,0,25338,7,0,26251.478,26,449.720138888889,10793.2833333333,"DEU","Burgstaaken/Fehmarn","5390N 00916E",54.422,11.191,"Y","Y"
"6","DEBUM",7169296,3766044,1273663.728,1007,3722533,6855,94.528,1257165.237,5043.772,45,4978.67777777778,119488.266666667,"DEU","Buesum","5413N 00885E",54.13333333,8.85,"Y","Y"
"7","DECUX",3334574,1858705,616762.09,5933,1817775,3469,595.235,605318.339,2625.984,21,2315.67638888889,55576.2333333333,"DEU","Cuxhaven","5387N 00870E",53.86666667,8.7,"Y","Y"
"8","DEDAG",657547,304388,101305.434,15,304341,0,3,101293.077,0,3,456.629861111111,10959.1166666667,"DEU","Dagebuell","5473N 00869E",54.73166667,8.691666667,"Y","Y"
"9","DEDAN",56160,62299,19625.734,0,62299,0,0,19625.734,0,1,39,936,"DEU","Dangast","5344N 00811E",53.43833333,8.108333333,"Y","Y"
"10","DEDAP",9160,9217,6043,0,0,556,0,0,475,1,6.36111111111111,152.666666666667,"DEU","Damp","5458N 01002E",54.58166667,10.025,"Y","Y"
"11","DEDIT",1191093,531859,186973.239,0,531859,0,0,186973.239,0,6,827.147916666667,19851.55,"DEU","Ditzum","5331N 00728E",53.30833333,7.275,"Y","Y"
"12","DEDRA",4620,1572,1313.002,0,0,45,0,0,89,1,3.20833333333333,77,"DEU","Dranske","5462N 01329E",54.61833333,13.28666667,"Y","Y"
"13","DEECK",1775354,111775,115545.248,996,0,19672,91,0,19264.046,11,1232.88472222222,29589.2333333333,"DEU","Eckernfoerde","5448N 00984E",54.475,9.838333333,"Y","Y"
"14","DEEIK",882948,532812,227076.842,0,532812,0,0,227076.842,0,7,613.158333333333,14715.8,"DEU","Eidersperrwerk","5427N 00885E",54.26666667,8.85,"Y","Y"
"15","DEFLF",603360,113,1300,0,0,15,0,0,104,5,419,10056,"DEU","Flensburg","5480N 00943E",54.80166667,9.43,"Y","Y"
"16","DEFR1",85920,0,642,0,0,0,0,642,0,1,59.6666666666667,1432,"DEU","Friedrichskoog","5401N 00890E",54.012409,8.902016,"Y","Y"
"17","DEFR2",145144,106151,125322.071,48,0,30728,6,0,27724.596,5,100.794444444444,2419.06666666667,"DEU","Freest","5412N 01377E",54.11666667,13.76666667,"Y","Y"
"18","DEGGX",33660,10621,6272,11,0,2985,1,0,906,1,23.375,561,"DEU","Gager","5431N 01368E",54.310189,13.684845,"Y","Y"
"19","DEGLY",7800,11779,8590,0,0,1088,0,0,596,2,5.41666666666667,130,"DEU","Glowe","5457N 01347E",54.573554,13.468552,"Y","Y"
"20","DEGRE",3358356,1814091,896652.333,3454,1807088,1500,263.345,895476.048,514.548,21,2332.19166666667,55972.6,"DEU","Greetsiel","5350N 00710E",53.5,7.1,"Y","Y"
"21","DEGRO",16560,6839,3348.83,27,0,477,3,0,238.668,2,11.5,276,"DEU","Grossenbrode","5448N 01112E",54.352673,11.068391,"Y","Y"
"22","DEGZZ",42240,0,74,0,0,0,0,0,3,1,29.3333333333333,704,"DEU","Groemitz","5413N 01095E",54.13333333,10.95,"Y","Y"
"23","DEHED",895860,235239,241594.596,0,0,57093,0,0,46362.986,9,622.125,14931,"DEU","Heikendorf","5438N 01020E",54.375,10.19666667,"Y","Y"
"24","DEHHF",1317843,684618,498798.19,757,76645,112606,81,23642.801,93619.811,12,915.16875,21964.05,"DEU","Heiligenhafen","5437N 01098E",54.37333333,10.98333333,"Y","Y"
"25","DEHOO",190108,464596,143728.769,0,464596,0,0,143728.769,0,2,132.019444444444,3168.46666666667,"DEU","Hooksiel","5364N 00808E",53.64166667,8.083333333,"Y","Y"
"26","DEHSX",298273,369548,130267.86,0,369548,0,0,130267.86,0,2,207.134027777778,4971.21666666667,"DEU","Harlesiel","5371N 00781E",53.70666667,7.808333333,"Y","Y"
"27","DEHUS",1399773,661507,241559.728,18,661384,0,4,241406.728,49,10,972.064583333333,23329.55,"DEU","Husum","5448N 00904E",54.475,9.045,"Y","Y"
"28","DEKAP",753317,690415,760842.722,688,0,204015,67,0,177567.566,17,523.136805555556,12555.2833333333,"DEU","Kappeln","5466N 00994E",54.65833333,9.935,"Y","Y"
"29","DEKDM",257760,0,213,0,0,0,0,0,177,2,179,4296,"DEU","Kirchdorf","5400N 01144E",53.995,11.44,"Y","Y"
"30","DEKEL",308520,2232,1119,0,0,510,0,0,102,6,214.25,5142,"DEU","Kiel","5433N 01016E",54.33333333,10.15666667,"Y","Y"
"31","DEKL1",2100,970,1045,0,0,425,0,0,350,1,1.45833333333333,35,"DEU","Kloster","5458N 01310E",54.575,13.105,"Y","Y"
"32","DELAB",109980,22128,17678.976,18,0,4021,2,0,2590.64,3,76.375,1833,"DEU","Laboe","5440N 01022E",54.40333333,10.21833333,"Y","Y"
"33","DELG1",43680,0,12,0,0,0,0,0,9,1,30.3333333333333,728,"DEU","Langballigau","5482N 00965E",54.821014,9.653978,"Y","Y"
"34","DELIS",117600,0,461,0,0,0,2,446,0,1,81.6666666666667,1960,"DEU","List/Sylt","5502N 00844E",55.01833333,8.441666667,"Y","Y"
"35","DELPP",960,0,295,0,0,0,0,0,55,1,0.666666666666667,16,"DEU","Lippe","5433N 01065E",54.33333333,10.65,"Y","Y"
"36","DEMAO",804088,544693,517306.541,2532,0,188758,297,0,152332,16,558.394444444444,13401.4666666667,"DEU","Maasholm","5468N 00999E",54.68333333,9.993333333,"Y","Y"
"37","DEND1",116461,58108,85156.31,0,0,5722,0,0,7233.421,4,80.8756944444444,1941.01666666667,"DEU","Niendorf","5399N 01081E",53.99333333,10.81333333,"Y","Y"
"38","DENDT",42240,0,72,0,0,0,0,0,3,1,29.3333333333333,704,"DEU","Neustadt","5410N 01081E",54.105,10.81166667,"Y","Y"
"39","DENEF",129600,0,490,0,0,0,0,490,0,1,90,2160,"DEU","Neufeld","5390N 00902E",53.9,9.016666667,"Y","Y"
"40","DENHO",342240,0,1545,0,0,0,0,0,74,3,237.666666666667,5704,"DEU","Neustadt in Holstein","5406N 01049E",54.1,10.81666667,"N","Y"
"41","DENHS",402239,701368,240592.423,0,701368,0,0,240592.423,0,7,279.332638888889,6703.98333333333,"DEU","Neuharlingersiel","5370N 00770E",53.7,7.703333333,"Y","Y"
"42","DENOE",1166346,802819,277689.215,503,802135,65,45,277540.215,45,10,809.9625,19439.1,"DEU","Norddeich","5362N 00716E",53.625,7.158333333,"Y","Y"
"43","DENOR",741740,377928,165314.992,82,365764,770,8,154671.491,738.214,5,515.097222222222,12362.3333333333,"DEU","Nordstrand","5450N 00881E",54.49833333,8.808333333,"Y","Y"
"44","DENOZ",1980,2153,2010,0,0,351,0,0,295,1,1.375,33,"DEU","Neuendorf H","5450N 01307E",54.505,13.07166667,"Y","Y"
"45","DEORT",43680,0,31,0,0,0,0,0,28,1,30.3333333333333,728,"DEU","Orth/Fehmarn","5445N 01105E",54.44666667,11.05166667,"Y","Y"
