"","VE_HOME","t_intv_min","tot_euros","tot_kgs","LE_EURO_SOL","LE_EURO_CSH","LE_EURO_PLE","LE_KG_SOL","LE_KG_CSH","LE_KG_PLE","VE_REF","t_intv_day","t_intv_h","ISO3_Country_Code","full_name","Coordinates","Latitude","Longitude","EU_Fish_Port","Port"
"1","DE4AV",216090,349063,378265.719,568,0,103298,62,0,83328.566,4,150.0625,3601.5,"DEU","Arnis","5463N 00993E",54.63333333,9.933333333,"Y","Y"
"2","DEACC",1272296,1412978,480229.98,12067,1384931,4385,950.715,472962.488,2449.531,10,883.538888888889,21204.9333333333,"DEU","Accumersiel","5368N 00849E",53.679866,7.48563,"Y","Y"
"3","DEAHC",1395,582,489,0,0,4,0,0,5,1,0.96875,23.25,"DEU","Ahlbeck","5394N 01419E",53.94333333,14.19333333,"Y","Y"
"4","DEBA1",42240,0,259,0,0,0,0,0,10,1,29.3333333333333,704,"DEU","Bansin","5398N 01414E",53.97666667,14.14333333,"Y","Y"
"5","DEBA2",6900,3073,1969.96,0,0,121,0,0,217,1,4.79166666666667,115,"DEU","Baabe (Ostseebad)","5436N 01372E",54.362458,13.715744,"Y","Y"
"6","DEBBH",123840,0,5206,0,0,0,0,0,60,1,86,2064,"DEU","Barth","5437N 01273E",54.37166667,12.72666667,"Y","Y"
"7","DEBEN",15575,9925,3231.912,0,9925,0,0,3231.912,0,1,10.8159722222222,259.583333333333,"DEU","Bensersiel","5368N 00758E",53.675,7.575,"Y","Y"
"8","DEBKE",1592607,1143856,389055.788,415306,80504,148693,42027.759,21143.077,114343.762,6,1105.97708333333,26543.45,"DEU","Brake","5333N 00848E",53.33333333,8.483333333,"Y","Y"
"9","DEBSK",690382,451796,424608.775,0,0,22867,1,0,23698.478,24,479.431944444444,11506.3666666667,"DEU","Burgstaaken/Fehmarn","5390N 00916E",54.422,11.191,"Y","Y"
"10","DEBUM",3601806,2579302,1000147.935,423667,1153389,659435,40562.352,414876.332,440485.461,23,2501.25416666667,60030.1,"DEU","Buesum","5413N 00885E",54.13333333,8.85,"Y","Y"
"11","DECUX",2322736,1910437,916681.428,1975,792541,16952,236.264,266317.522,12599.098,17,1613.01111111111,38712.2666666667,"DEU","Cuxhaven","5387N 00870E",53.86666667,8.7,"Y","Y"
"12","DEDIT",1016373,451993,158145.69,0,451993,0,0,158145.69,0,5,705.814583333333,16939.55,"DEU","Ditzum","5331N 00728E",53.30833333,7.275,"Y","Y"
"13","DEDRA",4620,1572,1313.002,0,0,45,0,0,89,1,3.20833333333333,77,"DEU","Dranske","5462N 01329E",54.61833333,13.28666667,"Y","Y"
"14","DEDRM",617150,569449,181158.644,0,569449,0,0,181158.644,0,5,428.576388888889,10285.8333333333,"DEU","Dorum","5374N 00853E",53.73833333,8.533333333,"Y","Y"
"15","DEECK",2005109,227798,206441.417,1905,0,40408,175,0,35775.046,14,1392.43680555556,33418.4833333333,"DEU","Eckernfoerde","5448N 00984E",54.475,9.838333333,"Y","Y"
"16","DEEME",1203565,1288542,414327.716,406420,93916,334109,38177.586,31777.789,233430.795,6,835.809027777778,20059.4166666667,"DEU","Emden","5337N 00720E",53.36666667,7.2,"Y","Y"
"17","DEFES",948110,1092149,352040.412,8548,1078523,1789,787.66,349394.88,514.08,6,658.409722222222,15801.8333333333,"DEU","Fedderwardersiel","5360N 00836E",53.6,8.358333333,"Y","Y"
"18","DEFLF",823200,0,1817,0,0,0,0,0,314,9,571.666666666667,13720,"DEU","Flensburg","5480N 00943E",54.80166667,9.43,"Y","Y"
"19","DEFR1",4146412,2200730,743813.622,717,2169028,2860,65,736469.048,2032.984,22,2879.45277777778,69106.8666666667,"DEU","Friedrichskoog","5401N 00890E",54.012409,8.902016,"Y","Y"
"20","DEFR2",62994,88162,90582.543,48,0,29797,6,0,26080,4,43.7458333333333,1049.9,"DEU","Freest","5412N 01377E",54.11666667,13.76666667,"Y","Y"
"21","DEFRO",474720,0,1133,0,0,0,0,0,48,5,329.666666666667,7912,"DEU","Friedrichsort","5438N 01017E",54.38166667,10.16833333,"Y","Y"
"22","DEGGX",34200,10889,6332,11,0,2991,1,0,911,2,23.75,570,"DEU","Gager","5431N 01368E",54.310189,13.684845,"Y","Y"
"23","DEGLY",5820,9290,6819,0,0,934,0,0,503,1,4.04166666666667,97,"DEU","Glowe","5457N 01347E",54.573554,13.468552,"Y","Y"
"24","DEGRE",5322790,3004626,1330750.375,132398,2501836,275997,12688.768,1109636.199,180686.167,33,3696.38194444444,88713.1666666667,"DEU","Greetsiel","5350N 00710E",53.5,7.1,"Y","Y"
"25","DEGRO",42840,60,45,0,0,8,0,0,8,2,29.75,714,"DEU","Grossenbrode","5448N 01112E",54.352673,11.068391,"Y","Y"
"26","DEGTM",106421,101565,127086.556,0,0,5962,0,0,7213,4,73.9034722222222,1773.68333333333,"DEU","Luebeck-gothmund","5391N 01075E",53.90666667,10.75166667,"Y","Y"
"27","DEGTW",3180,2046,2455,0,0,580,0,0,580,1,2.20833333333333,53,"DEU","Gristow","5417N 01333E",54.16666667,13.33333333,"Y","Y"
"28","DEHED",900540,237471,242166.596,0,0,57603,0,0,46272.986,9,625.375,15009,"DEU","Heikendorf","5438N 01020E",54.375,10.19666667,"Y","Y"
"29","DEHGE",328867,162522,55284.012,0,162522,0,0,55284.012,0,2,228.379861111111,5481.11666666667,"DEU","Hooge","5458N 00853E",54.57666667,8.533333333,"Y","Y"
"30","DEHHF",2057756,1324741,667589.512,216974,184071,125290,22468.055,61140.714,102667.249,16,1428.99722222222,34295.9333333333,"DEU","Heiligenhafen","5437N 01098E",54.37333333,10.98333333,"Y","Y"
"31","DEHOO",60104,135629,41620,0,135629,0,0,41620,0,1,41.7388888888889,1001.73333333333,"DEU","Hooksiel","5364N 00808E",53.64166667,8.083333333,"Y","Y"
"32","DEHSX",209118,342853,121153.988,0,342853,0,0,121153.988,0,1,145.220833333333,3485.3,"DEU","Harlesiel","5371N 00781E",53.70666667,7.808333333,"Y","Y"
"33","DEHUS",2002719,990734,369953.32,100,978447,770,12,359156.819,787.214,13,1390.77708333333,33378.65,"DEU","Husum","5448N 00904E",54.475,9.045,"Y","Y"
"34","DEKA1",21140,7810,13580.577,0,0,412,0,0,729.294,1,14.6805555555556,352.333333333333,"DEU","Kamminke","5386N 01421E",53.86333333,14.21333333,"Y","Y"
