OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
1;Spain;Motriku;16;0,3;Production;;280,0696403;2,70854E-06; ;6,15302E-05;3,00513E-10
2;Spain;Biscay Marine Energy Park;4;20;Production;2015;1715,653133;5,273689891; ;0,097605445;0,000586571
3;France;Les deux oles;62;496;Approved;;11717,88346;111,8792826; ;0,490053872;0,013201682
4;France;Saint-Nazaire;80;480;Construction;;11305,67659;78,2571659; ;0,510508862;0,009282603
5;France;Courseulles-sur-mer;75;450;Approved;;9815,721397;77,14522955; ;0,547939324;0,009569856
6;France;Saint-Brieuc;62;496;Approved;;9595,312484;179,3441376; ;0,612821926;0,021970532
7;France;Groix Belle Ile;3;28,5;Approved;;8981,24696;16,80322391; ;0,244505577;0,002005556
8;Belgium;Rentel;42;309;Production;2018;28354,72898;23,26415439; ;0,260649083;0,003017221
9;Belgium;Norther;44;370;Production;2018;19797,75868;38,44533132; ;0,35280507;0,004979139
10;Belgium;Seastar;30;252;Production;2020;36085,95402;18,42617941; ;0,222749004;0,002391994
11;Belgium;Mermaid;28;235,2;Production;2020;48314,54943;16,67614972; ;0,208196391;0,002168813
12;Belgium;C-Power (Zone A);24;141,15;Production;2013;24793,53692;10,68206974; ;0,174693787;0,001383824
13;Belgium;C-Power (Zone B);30;184,5;Production;2013;25036,11712;9,169407126; ;0,167815236;0,001188486
14;Belgium;Northwind;72;216;Production;2014;33657,535;8,741282937; ;0,195543067;0,001134299
15;Belgium;Belwind phase 1;55;165;Production;2010;40610,68458;14,74064782; ;0,208409761;0,001915003
16;Belgium;Northwester 2;23;219;Production;2020;44480,7274;11,73264575; ;0,176358332;0,001524816
17;Belgium;Belwind phase 2 (Nobelwind) (Zone 2);50;165;Production;2017;39176,94958;13,8256577; ;0,204921732;0,001795656
18;Belgium;Belwind phase 2 (Nobelwind) (Zone 1);50;165;Production;;42583,68075;6,324815181; ;0,167287348;0,000821857
19;Germany;BARD Offshore 1;80;400;Production;2013;89437,82031;58,90887524; ;0,371058654;0,008139921
20;Germany;Deutsche Bucht;31;252;Production;2019;89301,36295;17,63717385; ;0,214026688;0,00243414
21;Germany;Veja Mate;67;402;Production;2017;87648,00255;50,65015042; ;0,393481447;0,006992469
22;France;Dieppe - Le Treport;62;496;Approved;;14709,25063;109,3726248; ;0,533810082;0,013757328
23;France;Fecamp;83;498;Approved;;11247,00603;87,88995477; ;0,481718961;0,010996761
24;Germany;alpha ventus;12;60;Production;2009;40516,41895;3,994284813; ;0,097692956;0,000547384
25;Germany;DanTysk;80;302,4;Production;2014;66391,19027;64,53165081; ;0,455414298;0,009089113
26;Germany;Borkum Riffgrund West;80;900;Approved;;53252,31713;29,70009389; ;0,29389035;0,004073706
27;Germany;Borkum Riffgrund 1;78;312;Production;2015;34866,1275;35,6605022; ;0,310732006;0,004881938
28;Germany;Amrumbank West;80;302,4;Production;2015;36102,7263;30,17524421; ;0,339512926;0,004186498
29;Germany;Nordsee Ost;48;295;Production;2015;28071,64913;35,70251388; ;0,301857333;0,00494394
30;Germany;Butendiek;80;288;Production;2015;32508,57761;31,43732247; ;0,268245989;0,00441476
31;Germany;GlobalTech I;80;400;Production;2015;93778,15038;39,91509693; ;0,305038614;0,00553592
32;Germany;EnBW Hohe See;71;497;Production;2019;86883,521;40,52121343; ;0,327257971;0,005611061
33;Germany;Sandbank;31;124;Production;2017;83256,01321;19,81662338; ;0,237808988;0,002799548
34;Germany;Sandbank;41;164;Production;2017;86130,60391;27,43004605; ;0,287038223;0,003865397
35;Germany;Gode Wind 01;55;344,52;Production;2017;31682,6764;40,14758437; ;0,344961151;0,0055026
36;Germany;EnBW He dreiht;119;900;Approved;;82993,64748;62,60349324; ;0,457788451;0,008652492
37;Germany;Nordergruende;18;111;Production;2017;8976,952486;3,422069227; ;0,086957907;0,000467014
38;Germany;Riffgat;30;113,4;Production;2014;14365,95122;5,990623748; ;0,170935298;0,000814803
39;Germany;Merkur Offshore (MEG Offshore I);66;396;Production;2019;42610,10458;39,25340227; ;0,342436887;0,005383502
40;Germany;Trianel Windpark Borkum Phase 1;40;200;Production;2015;45030,04344;22,59739736; ;0,325334017;0,003099406
41;Germany;Trianel Windpark Borkum Phase 2;15;95;Production;2020;48710,61514;14,32881199; ;0,194727035;0,001966359
42;Germany;Trianel Windpark Borkum Phase 2;17;107;Production;2020;46687,58006;16,30701019; ;0,19808007;0,002235992
43;Germany;Nordsee One;54;332;Production;2017;32980,02785;29,68545306; ;0,361231817;0,004065332
44;Germany;Borkum Riffgrund 2;52;416;Production;2018;34553,63631;34,85874414; ;0,431948561;0,004770277
45;Germany;Borkum Riffgrund 2;4;32;Production;2018;38137,73595;1,125415889; ;0,062890911;0,000154128
46;Germany;OWP West;41;240;Approved;;53770,33771;14,07782322; ;0,344820589;0,001930159
47;Germany;Borkum Riffgrund West II;34;204;Planned;;58958,36446;12,82489017; ;0,199286623;0,001759369
