# SPDX-FileContributor: Verena Mühlberger <verena.muehlberger@uni-hamburg.de>
# SPDX-FileCopyrightText: 2023 Universität Hamburg
# SPDX-FileCopyrightText: 2023 Bundesministerium für Landwirtschaft und Ernährung
# SPDX-License-Identifier: LicenseRef-DL-DE-BY-2.0
# Comment: until 2015 the BLE uses Garnele (Crangon) as a synonym for Speisekrabbe (Crangon)
# Units are month in year, € kg^-1, € kg^-1, € kg^-1,
year_month,Crangon,Pleuronectes,Solea,
2008-01,6.3,1.15,4.34,
2008-02,8.5,1.16,12.54,
2008-03,9.96,1.5,8.9,
2008-04,6.19,1.05,5.71,
2008-05,6.98,1.5,10.27,
2008-06,5.82,1.5,8.73,
2008-07,4.23,1.15,7.8,
2008-08,3.21,1.59,7.95,
2008-09,2.37,1.58,9.04,
2008-10,2.09,1.47,8.81,
2008-11,1.83,1.3,10.31,
2008-12,1.9,1.09,8.06,
2009-01,2.17,0.9,8.64,
2009-02,2.17,0.88,7.15,
2009-03,3.01,1.12,6.46,
2009-04,3.17,1.17,6.68,
2009-05,3.57,0.83,6.45,
2009-06,3.28,1.18,10.54,
2009-07,3.24,0.93,9.92,
2009-08,2.76,0.35,9.61,
2009-09,3.01,1.04,6.22,
2009-10,2.12,1.01,10.05,
2009-11,1.86,1.01,10.51,
2009-12,2.09,0.97,10.54,
2010-01,,0.96,9.07,
2010-02,,0.95,8.8,
2010-03,,0.86,9.89,
2010-04,,1.13,10.73,
2010-05,3.32,1.01,8.59,
2010-06,3.51,0.91,11.55,
2010-07,3.0,0.97,8.76,
2010-08,3.26,0.89,8.76,
2010-09,2.72,1.1,6.33,
2010-10,2.54,1.08,,
2010-11,1.74,0.83,,
2010-12,1.69,0.93,,
2011-01,2.0,0.74,4.64,
2011-02,2.09,0.84,9.47,
2011-03,1.86,0.9,11.76,
2011-04,1.59,1.42,,
2011-05,2.59,0.81,,
2011-06,2.85,0.68,10.51,
2011-07,2.62,1.04,5.33,
2011-08,2.56,1.25,10.57,
2011-09,2.44,1.06,2.91,
2011-10,1.53,1.21,12.16,
2011-11,1.62,1.13,16.31,
2011-12,2.94,1.1,12.55,
2012-01,2.78,0.98,3.52,
2012-02,3.59,0.95,2.77,
2012-03,3.73,0.98,4.26,
2012-04,4.17,1.13,1.67,
2012-05,4.05,0.98,9.06,
2012-06,5.42,1.09,13.22,
2012-07,6.27,0.92,,
2012-08,5.25,0.99,4.78,
2012-09,3.9,1.14,12.89,
2012-10,3.63,0.98,13.76,
2012-11,3.61,0.94,5.0,
2012-12,3.49,1.02,2.5,
2013-01,,,,
2013-02,,,,
2013-03,6.29,0.99,10.69,
2013-04,5.94,0.94,9.0,
2013-05,5.29,0.94,9.08,
2013-06,7.02,0.97,11.93,
2013-07,7.59,0.88,,
2013-08,5.42,0.64,10.0,
2013-09,3.63,1.08,10.37,
2013-10,2.38,1.05,7.3,
2013-11,2.5,0.77,10.73,
2013-12,2.47,0.89,7.48,
2014-01,2.71,0.67,,
2014-02,4.45,0.92,7.67,
2014-03,4.59,0.64,9,
2014-04,4.51,0.95,9.05,
2014-05,5.55,0.76,11.53,
2014-06,6.46,1.02,13.45,
2014-07,4.89,0.68,14.0,
2014-08,3.63,1.2,4.0,
2014-09,3.16,1.16,9.6,
2014-10,2.85,1.03,9.93,
2014-11,2.8,1.17,9.23,
2014-12,2.84,1.15,5,
2015-01,2.94,1.03,7.76,
2015-02,3.0,99,7.17,
2015-03,3.0,1.03,6.9,
2015-04,3.01,1.13,7.92,
2015-05, 3.16,1.07,10.97,
