SPDX-FileContributor: Verena Mühlberger <verena.muehlberger@uni-hamburg.de>
SPDX-FileCopyrightText: 2023 Universität Hamburg
SPDX-FileCopyrightText: 2023 Bundesministerium für Landwirtschaft und Ernährung
SPDX-License-Identifier: LicenseRef-DL-DE-BY-2.0
year_month;Speisekrabbe € kg^-1;Scholle € kg^-1;Seezunge € kg^-1;
2003;2.49;1.6;9.95;
2004;2.17;1.46;8.99;
2005;2.61;1.45;9.90;
2006;2.63;1.60;10.87;
2007;3.63;1.39;8.93;
2008;3.63;1.36;8.61;
2009;2.57;1.0;9.38;
2010;2.70;0.98;9.97;
2011;2.01;1.03;8.59;
2012;4.23;1.01;9.40;
2013;4.44;0.96;10.63;
2014;3.61;1.00;12.19;
2015;3.77;1.25;10.58;
2016;8.18;1.30;10.34;
2017;7.91;1.51;9.38;
2018;4.25;2.04;10.96;
2019;2.96;1.88;11.44;
2020;3.65;1.59;11.07;
2021;4.35;1.61;9.84;
