; Generated by filtering for Eid al-Fitr from holidays_MA.csv
; SPDX-FileCopyrightText: 2023-2024 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1950-07-16,Eid al-Fitr* (*estimated)
1950-07-17,Eid al-Fitr* (*estimated)
1951-07-06,Eid al-Fitr* (*estimated)
1951-07-07,Eid al-Fitr* (*estimated)
1952-06-23,Eid al-Fitr* (*estimated)
1952-06-24,Eid al-Fitr* (*estimated)
1953-06-13,Eid al-Fitr* (*estimated)
1953-06-14,Eid al-Fitr* (*estimated)
1954-06-02,Eid al-Fitr* (*estimated)
1954-06-03,Eid al-Fitr* (*estimated)
1955-05-23,Eid al-Fitr* (*estimated)
1955-05-24,Eid al-Fitr* (*estimated)
1956-05-11,Eid al-Fitr* (*estimated)
1956-05-12,Eid al-Fitr* (*estimated)
1957-05-01,Eid al-Fitr* (*estimated); Fête du Travail
1957-05-02,Eid al-Fitr* (*estimated)
1958-04-20,Eid al-Fitr* (*estimated)
1958-04-21,Eid al-Fitr* (*estimated)
1959-04-10,Eid al-Fitr* (*estimated)
1959-04-11,Eid al-Fitr* (*estimated)
1960-03-28,Eid al-Fitr* (*estimated)
1960-03-29,Eid al-Fitr* (*estimated)
1961-03-18,Eid al-Fitr* (*estimated)
1961-03-19,Eid al-Fitr* (*estimated)
1962-03-07,Eid al-Fitr* (*estimated)
1962-03-08,Eid al-Fitr* (*estimated)
1963-02-24,Eid al-Fitr* (*estimated)
1963-02-25,Eid al-Fitr* (*estimated)
1964-02-14,Eid al-Fitr* (*estimated)
1964-02-15,Eid al-Fitr* (*estimated)
1965-02-02,Eid al-Fitr* (*estimated)
1965-02-03,Eid al-Fitr* (*estimated)
1966-01-22,Eid al-Fitr* (*estimated)
1966-01-23,Eid al-Fitr* (*estimated)
1967-01-12,Eid al-Fitr* (*estimated)
1967-01-13,Eid al-Fitr* (*estimated)
1968-01-01,Eid al-Fitr* (*estimated); Nouvel an - Premier janvier
1968-01-02,Eid al-Fitr* (*estimated)
1968-12-21,Eid al-Fitr* (*estimated)
1968-12-22,Eid al-Fitr* (*estimated)
1969-12-10,Eid al-Fitr* (*estimated)
1969-12-11,Eid al-Fitr* (*estimated)
1970-11-30,Eid al-Fitr* (*estimated)
1970-12-01,Eid al-Fitr* (*estimated)
1971-11-19,Eid al-Fitr* (*estimated)
1971-11-20,Eid al-Fitr* (*estimated)
1972-11-07,Eid al-Fitr* (*estimated)
1972-11-08,Eid al-Fitr* (*estimated)
1973-10-27,Eid al-Fitr* (*estimated)
1973-10-28,Eid al-Fitr* (*estimated)
1974-10-16,Eid al-Fitr* (*estimated)
1974-10-17,Eid al-Fitr* (*estimated)
1975-10-06,Eid al-Fitr* (*estimated)
1975-10-07,Eid al-Fitr* (*estimated)
1976-09-24,Eid al-Fitr* (*estimated)
1976-09-25,Eid al-Fitr* (*estimated)
1977-09-14,Eid al-Fitr* (*estimated)
1977-09-15,Eid al-Fitr* (*estimated)
1978-09-03,Eid al-Fitr* (*estimated)
1978-09-04,Eid al-Fitr* (*estimated)
1979-08-23,Eid al-Fitr* (*estimated)
1979-08-24,Eid al-Fitr* (*estimated)
1980-08-12,Eid al-Fitr* (*estimated)
1980-08-13,Eid al-Fitr* (*estimated)
1981-08-01,Eid al-Fitr* (*estimated)
1981-08-02,Eid al-Fitr* (*estimated)
1982-07-21,Eid al-Fitr* (*estimated)
1982-07-22,Eid al-Fitr* (*estimated)
1983-07-11,Eid al-Fitr* (*estimated)
1983-07-12,Eid al-Fitr* (*estimated)
1984-06-30,Eid al-Fitr* (*estimated)
1984-07-01,Eid al-Fitr* (*estimated)
1985-06-19,Eid al-Fitr* (*estimated)
1985-06-20,Eid al-Fitr* (*estimated)
1986-06-08,Eid al-Fitr* (*estimated)
1986-06-09,Eid al-Fitr* (*estimated)
1987-05-28,Eid al-Fitr* (*estimated)
1987-05-29,Eid al-Fitr* (*estimated)
1988-05-16,Eid al-Fitr* (*estimated)
1988-05-17,Eid al-Fitr* (*estimated)
1989-05-06,Eid al-Fitr* (*estimated)
1989-05-07,Eid al-Fitr* (*estimated)
1990-04-26,Eid al-Fitr* (*estimated)
1990-04-27,Eid al-Fitr* (*estimated)
1991-04-15,Eid al-Fitr* (*estimated)
1991-04-16,Eid al-Fitr* (*estimated)
1992-04-04,Eid al-Fitr* (*estimated)
1992-04-05,Eid al-Fitr* (*estimated)
1993-03-24,Eid al-Fitr* (*estimated)
1993-03-25,Eid al-Fitr* (*estimated)
1994-03-13,Eid al-Fitr* (*estimated)
1994-03-14,Eid al-Fitr* (*estimated)
1995-03-02,Eid al-Fitr* (*estimated)
1995-03-03,Eid al-Fitr* (*estimated); Fête du Trône
1996-02-19,Eid al-Fitr* (*estimated)
1996-02-20,Eid al-Fitr* (*estimated)
1997-02-08,Eid al-Fitr* (*estimated)
1997-02-09,Eid al-Fitr* (*estimated)
1998-01-29,Eid al-Fitr* (*estimated)
1998-01-30,Eid al-Fitr* (*estimated)
1999-01-18,Eid al-Fitr* (*estimated)
1999-01-19,Eid al-Fitr* (*estimated)
2000-01-08,Eid al-Fitr* (*estimated)
2000-01-09,Eid al-Fitr* (*estimated)
2000-12-27,Eid al-Fitr* (*estimated)
2000-12-28,Eid al-Fitr* (*estimated)
2001-12-16,Eid al-Fitr* (*estimated)
2001-12-17,Eid al-Fitr* (*estimated)
2002-12-05,Eid al-Fitr* (*estimated)
2002-12-06,Eid al-Fitr* (*estimated)
2003-11-25,Eid al-Fitr* (*estimated)
2003-11-26,Eid al-Fitr* (*estimated)
2004-11-14,Eid al-Fitr* (*estimated)
2004-11-15,Eid al-Fitr* (*estimated)
2005-11-03,Eid al-Fitr* (*estimated)
2005-11-04,Eid al-Fitr* (*estimated)
2006-10-23,Eid al-Fitr* (*estimated)
2006-10-24,Eid al-Fitr* (*estimated)
2007-10-13,Eid al-Fitr* (*estimated)
2007-10-14,Eid al-Fitr* (*estimated)
2008-10-01,Eid al-Fitr* (*estimated)
2008-10-02,Eid al-Fitr* (*estimated)
2009-09-20,Eid al-Fitr* (*estimated)
2009-09-21,Eid al-Fitr* (*estimated)
2010-09-10,Eid al-Fitr* (*estimated)
2010-09-11,Eid al-Fitr* (*estimated)
2011-08-30,Eid al-Fitr* (*estimated)
2011-08-31,Eid al-Fitr* (*estimated)
2012-08-19,Eid al-Fitr* (*estimated)
2012-08-20,Commémoration de la révolution du Roi et du peuple; Eid al-Fitr* (*estimated)
2013-08-08,Eid al-Fitr* (*estimated)
2013-08-09,Eid al-Fitr* (*estimated)
2014-07-28,Eid al-Fitr* (*estimated)
2014-07-29,Eid al-Fitr* (*estimated)
2015-07-17,Eid al-Fitr* (*estimated)
2015-07-18,Eid al-Fitr* (*estimated)
2016-07-06,Eid al-Fitr* (*estimated)
2016-07-07,Eid al-Fitr* (*estimated)
2017-06-25,Eid al-Fitr* (*estimated)
2017-06-26,Eid al-Fitr* (*estimated)
2018-06-15,Eid al-Fitr* (*estimated)
2018-06-16,Eid al-Fitr* (*estimated)
2019-06-04,Eid al-Fitr* (*estimated)
2019-06-05,Eid al-Fitr* (*estimated)
2020-05-24,Eid al-Fitr* (*estimated)
2020-05-25,Eid al-Fitr* (*estimated)
2021-05-13,Eid al-Fitr* (*estimated)
2021-05-14,Eid al-Fitr* (*estimated)
2022-05-02,Eid al-Fitr* (*estimated)
2022-05-03,Eid al-Fitr* (*estimated)
2023-04-21,Eid al-Fitr* (*estimated)
2023-04-22,Eid al-Fitr* (*estimated)
2024-04-10,Eid al-Fitr* (*estimated)
2024-04-11,Eid al-Fitr* (*estimated)
2025-03-30,Eid al-Fitr* (*estimated)
2025-03-31,Eid al-Fitr* (*estimated)
2026-03-20,Eid al-Fitr* (*estimated)
2026-03-21,Eid al-Fitr* (*estimated)
2027-03-09,Eid al-Fitr* (*estimated)
2027-03-10,Eid al-Fitr* (*estimated)
2028-02-26,Eid al-Fitr* (*estimated)
2028-02-27,Eid al-Fitr* (*estimated)
2029-02-14,Eid al-Fitr* (*estimated)
2029-02-15,Eid al-Fitr* (*estimated)
2030-02-04,Eid al-Fitr* (*estimated)
2030-02-05,Eid al-Fitr* (*estimated)
2031-01-24,Eid al-Fitr* (*estimated)
2031-01-25,Eid al-Fitr* (*estimated)
2032-01-14,Eid al-Fitr* (*estimated)
2032-01-15,Eid al-Fitr* (*estimated)
2033-01-02,Eid al-Fitr* (*estimated)
2033-01-03,Eid al-Fitr* (*estimated)
2033-12-23,Eid al-Fitr* (*estimated)
2033-12-24,Eid al-Fitr* (*estimated)
2034-12-12,Eid al-Fitr* (*estimated)
2034-12-13,Eid al-Fitr* (*estimated)
2035-12-01,Eid al-Fitr* (*estimated)
2035-12-02,Eid al-Fitr* (*estimated)
2036-11-19,Eid al-Fitr* (*estimated)
2036-11-20,Eid al-Fitr* (*estimated)
2037-11-08,Eid al-Fitr* (*estimated)
2037-11-09,Eid al-Fitr* (*estimated)
