; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1950-01-01,Aid al Mawlid Annabawi* (*estimated); Nouvel an - Premier janvier
1950-01-02,Aid al Mawlid Annabawi* (*estimated)
1950-01-11,Commémoration de la présentation du manifeste de l'indépendance
1950-05-01,Fête du Travail
1950-07-09,Fête du Trône
1950-07-16,Eid al-Fitr* (*estimated)
1950-07-17,Eid al-Fitr* (*estimated)
1950-08-14,Journée de Oued Ed-Dahab
1950-08-20,Commémoration de la révolution du Roi et du peuple
1950-09-23,Eid al-Adha* (*estimated)
1950-09-24,Eid al-Adha* (*estimated)
1950-10-13,1er Moharram* (*estimated)
1950-11-18,Fête du Trône
1950-12-22,Aid al Mawlid Annabawi* (*estimated)
1950-12-23,Aid al Mawlid Annabawi* (*estimated)
1951-01-01,Nouvel an - Premier janvier
1951-01-11,Commémoration de la présentation du manifeste de l'indépendance
1951-05-01,Fête du Travail
1951-07-06,Eid al-Fitr* (*estimated)
1951-07-07,Eid al-Fitr* (*estimated)
1951-07-09,Fête du Trône
1951-08-14,Journée de Oued Ed-Dahab
1951-08-20,Commémoration de la révolution du Roi et du peuple
1951-09-12,Eid al-Adha* (*estimated)
1951-09-13,Eid al-Adha* (*estimated)
1951-10-02,1er Moharram* (*estimated)
1951-11-18,Fête du Trône
1951-12-11,Aid al Mawlid Annabawi* (*estimated)
1951-12-12,Aid al Mawlid Annabawi* (*estimated)
1952-01-01,Nouvel an - Premier janvier
1952-01-11,Commémoration de la présentation du manifeste de l'indépendance
1952-05-01,Fête du Travail
1952-06-23,Eid al-Fitr* (*estimated)
1952-06-24,Eid al-Fitr* (*estimated)
1952-07-09,Fête du Trône
1952-08-14,Journée de Oued Ed-Dahab
1952-08-20,Commémoration de la révolution du Roi et du peuple
1952-08-31,Eid al-Adha* (*estimated)
1952-09-01,Eid al-Adha* (*estimated)
1952-09-21,1er Moharram* (*estimated)
1952-11-18,Fête du Trône
1952-11-30,Aid al Mawlid Annabawi* (*estimated)
1952-12-01,Aid al Mawlid Annabawi* (*estimated)
1953-01-01,Nouvel an - Premier janvier
1953-01-11,Commémoration de la présentation du manifeste de l'indépendance
1953-05-01,Fête du Travail
1953-06-13,Eid al-Fitr* (*estimated)
1953-06-14,Eid al-Fitr* (*estimated)
1953-07-09,Fête du Trône
1953-08-14,Journée de Oued Ed-Dahab
1953-08-20,Commémoration de la révolution du Roi et du peuple; Eid al-Adha* (*estimated)
1953-08-21,Eid al-Adha* (*estimated)
1953-09-10,1er Moharram* (*estimated)
1953-11-18,Fête du Trône
1953-11-19,Aid al Mawlid Annabawi* (*estimated)
1953-11-20,Aid al Mawlid Annabawi* (*estimated)
1954-01-01,Nouvel an - Premier janvier
1954-01-11,Commémoration de la présentation du manifeste de l'indépendance
1954-05-01,Fête du Travail
1954-06-02,Eid al-Fitr* (*estimated)
1954-06-03,Eid al-Fitr* (*estimated)
1954-07-09,Fête du Trône
1954-08-09,Eid al-Adha* (*estimated)
1954-08-10,Eid al-Adha* (*estimated)
1954-08-14,Journée de Oued Ed-Dahab
1954-08-20,Commémoration de la révolution du Roi et du peuple
1954-08-30,1er Moharram* (*estimated)
1954-11-08,Aid al Mawlid Annabawi* (*estimated)
1954-11-09,Aid al Mawlid Annabawi* (*estimated)
1954-11-18,Fête du Trône
1955-01-01,Nouvel an - Premier janvier
1955-01-11,Commémoration de la présentation du manifeste de l'indépendance
1955-05-01,Fête du Travail
1955-05-23,Eid al-Fitr* (*estimated)
1955-05-24,Eid al-Fitr* (*estimated)
1955-07-09,Fête du Trône
1955-07-30,Eid al-Adha* (*estimated)
1955-07-31,Eid al-Adha* (*estimated)
1955-08-14,Journée de Oued Ed-Dahab
1955-08-20,1er Moharram* (*estimated); Commémoration de la révolution du Roi et du peuple
1955-10-29,Aid al Mawlid Annabawi* (*estimated)
1955-10-30,Aid al Mawlid Annabawi* (*estimated)
1955-11-18,Fête du Trône
1956-01-01,Nouvel an - Premier janvier
1956-01-11,Commémoration de la présentation du manifeste de l'indépendance
1956-05-01,Fête du Travail
1956-05-11,Eid al-Fitr* (*estimated)
1956-05-12,Eid al-Fitr* (*estimated)
1956-07-09,Fête du Trône
1956-07-19,Eid al-Adha* (*estimated)
1956-07-20,Eid al-Adha* (*estimated)
1956-08-08,1er Moharram* (*estimated)
1956-08-14,Journée de Oued Ed-Dahab
1956-08-20,Commémoration de la révolution du Roi et du peuple
1956-10-17,Aid al Mawlid Annabawi* (*estimated)
1956-10-18,Aid al Mawlid Annabawi* (*estimated)
1956-11-18,Fête du Trône
1957-01-01,Nouvel an - Premier janvier
1957-01-11,Commémoration de la présentation du manifeste de l'indépendance
1957-05-01,Eid al-Fitr* (*estimated); Fête du Travail
1957-05-02,Eid al-Fitr* (*estimated)
1957-07-08,Eid al-Adha* (*estimated)
1957-07-09,Eid al-Adha* (*estimated); Fête du Trône
