; Generated by modifying EIA's annual WTI price data
; SPDX-FileCopyrightText: 2024
; SPDX-FileCopyrightText: 2024 Helmholtz-Zentrum hereon GmbH
; SPDX-FileCopyrightText: 2024 U.S. Energy Information Administration
; SPDX-License-Identifier: CC0-1.0
Date,ct_per_liter,Barrel price,year,
2024-01-01,46.63903338,74.15,2024,Jan
2023-12-01,45.22382333,71.9,2023,Dec
2023-11-01,48.86563052,77.69,2023,Nov
2023-10-01,53.86603936,85.64,2023,Oct
2023-09-01,56.24988207,89.43,2023,Sep
2023-08-01,51.19286483,81.39,2023,Aug
2023-07-01,47.84667929,76.07,2023,Jul
2023-06-01,44.18600263,70.25,2023,Jun
2023-05-01,45.02254901,71.58,2023,May
2023-04-01,49.97263927,79.45,2023,Apr
2023-03-01,46.09181883,73.28,2023,Mar
2023-02-01,48.32470579,76.83,2023,Feb
2023-01-01,49.13609289,78.12,2023,Jan
2022-12-01,48.07940272,76.44,2022,Dec
2022-11-01,53.06723191,84.37,2022,Nov
2022-10-01,55.06739545,87.55,2022,Oct
2022-09-01,52.99804387,84.26,2022,Sep
2022-08-01,58.91676678,93.67,2022,Aug
2022-07-01,63.91717562,101.62,2022,Jul
2022-06-01,72.23232088,114.84,2022,Jun
2022-05-01,68.90500481,109.55,2022,May
2022-04-01,64.01781278,101.78,2022,Apr
2022-03-01,68.24457346,108.5,2022,Mar
2022-02-01,57.63993282,91.64,2022,Feb
2022-01-01,52.34390233,83.22,2022,Jan
2021-12-01,45.10431671,71.71,2021,Dec
2021-11-01,49.7839446,79.15,2021,Nov
2021-10-01,51.24947323,81.48,2021,Oct
2021-09-01,45.06657777,71.65,2021,Sep
2021-08-01,42.60096737,67.73,2021,Aug
2021-07-01,45.59492286,72.49,2021,Jul
2021-06-01,44.89675256,71.38,2021,Jun
2021-05-01,40.99077283,65.17,2021,May
2021-04-01,38.82078409,61.72,2021,Apr
2021-03-01,39.20446326,62.33,2021,Mar
2021-02-01,37.13511168,59.04,2021,Feb
2021-01-01,32.70707668,52,2021,Jan
2020-12-01,29.5747451,47.02,2020,Dec
2020-11-01,25.75053306,40.94,2020,Nov
2020-10-01,24.78190041,39.4,2020,Oct
2020-09-01,24.92656632,39.63,2020,Sep
2020-08-01,26.6311082,42.34,2020,Aug
2020-07-01,25.60586715,40.71,2020,Jul
2020-06-01,24.09630976,38.31,2020,Jun
2020-05-01,17.96373288,28.56,2020,May
2020-04-01,10.40965614,16.55,2020,Apr
2020-03-01,18.37257134,29.21,2020,Mar
2020-02-01,31.7887626,50.54,2020,Feb
2020-01-01,36.17905867,57.52,2020,Jan
2019-12-01,37.66345676,59.88,2019,Dec
2019-11-01,35.87085737,57.03,2019,Nov
2019-10-01,33.93988188,53.96,2019,Oct
2019-09-01,35.82053879,56.95,2019,Sep
2019-08-01,34.47451678,54.81,2019,Aug
2019-07-01,36.07213168,57.35,2019,Jul
2019-06-01,34.38016945,54.66,2019,Jun
2019-05-01,38.26098989,60.83,2019,May
2019-04-01,40.16680609,63.86,2019,Apr
2019-03-01,36.57531748,58.15,2019,Mar
2019-02-01,34.5625743,54.95,2019,Feb
2019-01-01,32.31710769,51.38,2019,Jan
2018-12-01,31.14720071,49.52,2018,Dec
2018-11-01,35.82682861,56.96,2018,Nov
2018-10-01,44.50049375,70.75,2018,Oct
2018-09-01,44.17342298,70.23,2018,Sep
2018-08-01,42.80853152,68.06,2018,Aug
2018-07-01,44.64515967,70.98,2018,Jul
2018-06-01,42.68902489,67.87,2018,Jun
2018-05-01,44.01617742,69.98,2018,May
