# SPDX-FileCopyrightText: 2023-2024 Helmholtz-Zentrum hereon GmbH
# SPDX-FileContributor: Carsten Lemmen <carsten.lemmen@hereon.de>
# SPDX-License-Identifier: CC0-1.0
Given name,Surname,Boat
Klaus,Petersen,Netzmeister
Dieter,Jansen,Trawlerella
Helmut,Hansen,Skalensegel
Hans,Nielsen,Marlin
Jürgen,Møller,Seewind
Manfred,Andersen,Dock
Günter,Jacobsen,Hafen
Gerhard,Eriksen,Anker
Heinz,Visser,Garn
Wolfgang,Van der Berg,Dorsch
Karl-Heinz,de Boer,Olga
Insa,Janssen,Flunder
Gesa,Bakker,Kapitän
Runa,Schmidt,Greta
Wiebke,Madsen,Rotbarsch
Gesche,Christiansen,Krabbenkove
Hinrich,Olsen,Sophia
Hauke,Sørensen,Thunfisch
Heike,Van Dijk,Cove
Wieke,Willems,Leinen
Mareike,Jonsson,Jakobsmuschel
Edda,Pedersen,Boot
Helga,Kjær,Lena
Ole,Nilsen,Muschel
Freya,Thomsen,Steg
Maren,Larsen,Seemöwe
Inken,Eriksson,Sophie
Fiete,de Vries,Ada
Bentje,Svensson,Hanna
Gesche,Henriksen,Auster
Rieke,Rasmussen,Netz
Telse,Mortensen,Sofia
Berend,van den Heuvel,Port
Jette,Kristensen,Flosse
Eike,Christensen,Makrele
Meike,Jørgensen,Harpune
Enno,Jensen,Skipsea
Hella,van der Meer,Seelena
Okka,Bakker,Dock
Jost,Dahl,Garn
Jorun,Voss,Linda
Thore,Gundersen,Fisch
Heike,Haugen,Trawler
Ida,Bergström,Meeresmuschel
Ingo,Holm,Segel
Tjark,Nygaard,Skalen
Anke,de Groot,Giselle
Thorben,Johansen,Saga
Alke,Gustafsson,Wanda
Hinrich,Hermansen,Anker
